shuffle-l,1850,5209
shuffle-r,6040,9209
shuffle-l,10110,13309
shuffle-r,14130,17029
shuffle-l,18070,20919
shuffle-r,21810,24929
shuffle-l,25840,28959
shuffle-r,29880,32969
shuffle-l,33980,37039
shuffle-r,37920,41059
shuffle-l,42140,45379
shuffle-r,46370,49599
shuffle-l,50720,53879
shuffle-r,55130,58549
shuffle-l,59650,62939
shuffle-r,64330,67059
shuffle-l,68240,71469
shuffle-r,72560,75839
shuffle-l,76970,80199
shuffle-r,81320,84519
shuffle-l,86050,89339
shuffle-r,90370,93539
shuffle-l,94510,97959
shuffle-r,99080,102269
shuffle-l,103510,106789
shuffle-r,107670,110819
shuffle-l,111900,114999
shuffle-r,116020,119469
shuffle-l,120580,123779
shuffle-r,124760,128109
shuffle-l,129100,132459
shuffle-r,133530,136639
shuffle-l,137740,140839
shuffle-r,142050,145209
shuffle-l,146350,149939
shuffle-r,150960,154119
shuffle-l,155240,158199
shuffle-r,159240,162279
shuffle-l,163160,166179
shuffle-r,167240,170389
