shuffle-l,3760,6419
shuffle-r,8430,11459
shuffle-l,13050,15759
shuffle-r,17160,20079
shuffle-l,21420,24439
shuffle-r,25550,28709
shuffle-l,29900,32889
shuffle-r,33720,36999
shuffle-l,38190,41019
shuffle-r,42280,45289
shuffle-l,46370,49639
shuffle-r,50500,53679
shuffle-l,54740,57829
shuffle-r,59130,62389
shuffle-l,63870,66769
shuffle-r,68140,71429
shuffle-l,73170,76099
shuffle-r,77740,81109
shuffle-l,82570,85579
shuffle-r,86900,89989
shuffle-l,91250,94239
shuffle-r,95310,98489
shuffle-l,99820,102909
shuffle-r,103940,107379
shuffle-l,108480,111669
shuffle-r,112520,115739
shuffle-l,116740,119739
shuffle-r,120760,124159
shuffle-l,125210,128359
shuffle-r,129390,132719
shuffle-l,133630,136719
shuffle-r,137590,140879
shuffle-l,141760,145079
shuffle-r,146010,149329
shuffle-l,150410,153579
shuffle-r,154730,157899
shuffle-l,159100,162289
shuffle-r,163230,166809
shuffle-l,167760,170759
shuffle-r,171800,175059
