shuffle-l,3160,5779
shuffle-r,6620,9369
shuffle-l,10210,12809
shuffle-r,13580,16369
shuffle-l,16960,19549
shuffle-r,20230,22979
shuffle-l,23500,26159
shuffle-r,26770,29509
shuffle-l,30080,32719
shuffle-r,33360,35929
shuffle-l,36500,39149
shuffle-r,39760,42569
shuffle-l,43230,46019
shuffle-r,46600,49089
shuffle-l,50200,52839
shuffle-r,53390,56119
shuffle-l,56760,59579
shuffle-r,60820,63919
shuffle-l,64460,67569
shuffle-r,68200,71279
shuffle-l,71840,75009
shuffle-r,75610,78519
shuffle-l,78940,81879
shuffle-r,82310,85189
shuffle-l,85610,88479
shuffle-r,88940,91849
shuffle-l,92270,95259
shuffle-r,95770,98619
shuffle-l,99190,102159
shuffle-r,102600,105549
shuffle-l,105920,108779
shuffle-r,109300,112239
shuffle-l,112710,115519
shuffle-r,116110,119049
shuffle-l,119530,122469
shuffle-r,122990,125869
shuffle-l,126350,129269
shuffle-r,130080,132909
shuffle-l,133520,136319
shuffle-r,136940,139789
