shuffle-l,22250,25669
shuffle-r,26500,29539
shuffle-l,30190,33259
shuffle-r,33970,36939
shuffle-l,37670,40349
shuffle-r,41010,44059
shuffle-l,44630,47489
shuffle-r,48110,51439
shuffle-l,51950,55149
shuffle-r,55940,58949
shuffle-l,59670,62869
shuffle-r,63490,66369
shuffle-l,67150,70309
shuffle-r,70980,74129
shuffle-l,74780,77589
shuffle-r,78500,81459
shuffle-l,82180,85149
shuffle-r,86260,89079
shuffle-l,89740,92879
shuffle-r,93450,96729
shuffle-l,97260,100499
shuffle-r,101100,104019
shuffle-l,104890,107979
shuffle-r,109040,111859
shuffle-l,112700,115579
shuffle-r,116680,119689
shuffle-l,120320,122979
shuffle-r,124290,127349
shuffle-l,128450,131209
shuffle-r,132080,135229
shuffle-l,136050,138959
shuffle-r,139910,142839
shuffle-l,144170,147289
shuffle-r,147930,151029
shuffle-l,151690,154749
shuffle-r,155520,158539
shuffle-l,159250,162329
shuffle-r,163180,166619
shuffle-l,167070,170179
shuffle-r,170910,173879
