sit,2660,4369
sit-stand,5670,7739
stand,8560,10139
stand-sit,10930,12839
sit,13870,15959
sit-stand,17180,19639
stand,20440,22059
stand-sit,22910,24919
sit,25910,27949
sit-stand,28820,30619
stand,31500,33069
stand-sit,33840,35689
sit,36750,38489
sit-stand,39260,41119
stand,41950,43579
stand-sit,44220,46219
sit,47200,49099
sit-stand,50220,52419
stand,53250,55019
stand-sit,55770,57459
sit,58300,60059
sit-stand,60830,62699
stand,63560,65319
stand-sit,66110,68169
sit,69070,70669
sit-stand,71480,73269
stand,74280,76019
stand-sit,76770,78559
sit,79350,81389
sit-stand,82120,84299
stand,85100,87219
stand-sit,88020,89919
sit,90510,92639
sit-stand,93380,95369
stand,96150,97999
stand-sit,98620,100539
sit,101380,103409
sit-stand,104130,106179
stand,106970,108709
stand-sit,109380,111579
sit,112260,114399
sit-stand,115080,117259
stand,118000,120169
stand-sit,120760,122989
sit,124000,126109
sit-stand,126980,129059
stand,130000,132039
stand-sit,132930,134739
sit,135550,137579
sit-stand,138230,140159
stand,141070,143119
stand-sit,143880,145869
sit,146980,149049
sit-stand,149730,151639
stand,152330,154439
stand-sit,155050,156929
sit,157810,159949
sit-stand,160740,162799
stand,163720,165769
stand-sit,166460,168429
sit,169100,171359
sit-stand,171970,174109
stand,174950,177079
stand-sit,177890,179789
sit,180760,183149
sit-stand,183860,186239
stand,187070,189539
stand-sit,190260,192289
sit,193040,196029
sit-stand,196730,198359
stand,199290,201329
stand-sit,202040,204339
sit,205360,207599
sit-stand,208460,210409
stand,211360,213339
stand-sit,214210,216559
sit,217460,219689
sit-stand,220270,222399
stand,223340,225459
stand-sit,226210,228659
