stair-up,1170,6239
stair-down,8820,13779
stair-up,16910,22429
stair-down,25610,30529
stair-up,33560,39429
stair-down,42460,47329
stair-up,50990,56339
stair-down,59220,63819
stair-up,66110,71029
stair-down,73760,78289
stair-up,80770,85629
stair-down,88080,92609
stair-up,95320,100229
stair-down,102840,107639
stair-up,110430,115389
stair-down,118000,122189
stair-up,124380,128909
stair-down,131600,136089
stair-up,138360,142999
stair-down,145260,149759
stair-up,152210,157099
stair-down,159710,164349
stair-up,166930,171749
stair-down,174230,178099
stair-up,180280,184719
stair-down,186910,190629
stair-up,193070,197619
stair-down,199760,203679
stair-up,205990,210459
stair-down,212810,216639
stair-up,218900,223389
stair-down,225840,229649
stair-up,232070,236749
stair-down,239410,243599
stair-up,247850,252459
stair-down,254870,258919
stair-up,261350,265889
stair-down,268030,271679
stair-up,273630,278069
stair-down,280360,284119
