sit,12670,14389
sit-stand,15140,16629
stand,17780,19899
stand-sit,20850,22579
sit,23550,25939
sit-stand,26790,28019
stand,28900,30809
stand-sit,31730,33099
sit,33820,35759
sit-stand,36190,37589
stand,38360,40339
stand-sit,40700,42079
sit,43310,45329
sit-stand,46060,47169
stand,49060,51409
stand-sit,52070,53469
sit,54120,55919
sit-stand,56440,57709
stand,59010,61089
stand-sit,61610,62929
sit,63800,65749
sit-stand,66160,67289
stand,68890,70929
stand-sit,71410,72749
sit,73700,75929
sit-stand,76380,77699
stand,78570,80839
stand-sit,81260,82869
sit,83620,86229
sit-stand,86630,87899
stand,89350,91689
stand-sit,92160,93819
sit,94670,102689
sit-stand,103650,104829
stand,105920,108469
stand-sit,108880,110459
sit,111320,113659
sit-stand,114200,115589
stand,116910,119149
stand-sit,119550,120869
sit,122070,124569
sit-stand,125010,126259
stand,127520,130299
stand-sit,131020,132379
sit,133300,135849
sit-stand,136280,137819
stand,138950,139950
stand-sit,140220,141939
sit,142480,144759
sit-stand,145180,146379
stand,147210,148489
stand-sit,148880,150259
sit,150840,152809
sit-stand,153360,154409
stand,155320,156809
stand-sit,157260,158589
sit,159560,160949
sit-stand,161570,162959
stand,163940,165629
stand-sit,165970,167339
sit,168370,170449
sit-stand,170940,172209
stand,173140,174669
stand-sit,175240,176629
sit,177550,180329
sit-stand,180870,182089
stand,183190,185039
stand-sit,185530,187079
sit,187830,190809
sit-stand,191690,192769
stand,193570,195619
stand-sit,196160,197539
sit,198950,201259
sit-stand,201670,202869
stand,203960,206309
stand-sit,206930,208459
sit,209070,213679
sit-stand,215130,216789
stand,218450,221169
stand-sit,223730,225649
