shuffle-l,820,3539
shuffle-r,4680,7159
shuffle-l,7990,10559
shuffle-r,11540,13629
shuffle-l,14690,16889
shuffle-r,23520,26279
shuffle-l,27160,29729
shuffle-r,30640,33189
shuffle-l,33880,36609
shuffle-r,37440,40059
shuffle-l,40860,43589
shuffle-r,44550,46939
shuffle-l,47830,50419
shuffle-r,51420,54289
shuffle-l,55480,58149
shuffle-r,58830,61399
shuffle-l,62020,64549
shuffle-r,65400,67909
shuffle-l,68570,71219
shuffle-r,71860,74339
shuffle-l,74860,77259
shuffle-r,77980,80599
shuffle-l,81510,84179
shuffle-r,84860,87439
shuffle-l,88100,90649
shuffle-r,91180,93539
shuffle-l,95050,97659
shuffle-r,98630,101009
shuffle-l,101800,104179
shuffle-r,104990,107729
shuffle-l,108500,110949
shuffle-r,111480,113989
shuffle-l,114770,117129
shuffle-r,118400,120889
shuffle-l,122440,125009
shuffle-r,125970,128799
shuffle-l,129610,132269
shuffle-r,133240,135759
shuffle-l,136940,139449
shuffle-r,140060,142689
