sit,19670,23339
sit-stand,24010,25539
stand,27800,29549
stand-sit,30710,32409
sit,33280,35829
sit-stand,36510,37809
stand,38660,41009
stand-sit,41720,43129
sit,44770,46709
sit-stand,47550,48859
stand,49760,51989
stand-sit,52600,54339
sit,55180,57449
sit-stand,58050,59489
stand,60310,62809
stand-sit,63810,65569
sit,66520,68699
sit-stand,69380,70739
stand,71550,74359
stand-sit,75100,76679
sit,77660,79639
sit-stand,80680,82429
stand,84520,87139
stand-sit,88820,90109
sit,90970,93509
sit-stand,94190,95769
stand,96590,99329
stand-sit,100530,102019
sit,102630,104989
sit-stand,105720,107179
stand,107750,110099
stand-sit,110640,112309
sit,113150,115869
sit-stand,116450,118099
stand,118570,121159
stand-sit,121750,122999
sit,123610,126549
sit-stand,127160,128679
stand,129450,132129
stand-sit,132730,133919
sit,134420,136949
sit-stand,137500,138819
stand,139350,142659
stand-sit,143190,144499
sit,144940,147499
sit-stand,147930,149229
stand,149640,152509
stand-sit,152980,154369
sit,154820,157899
sit-stand,158420,159679
stand,159940,162279
stand-sit,162670,163859
sit,164280,166289
sit-stand,166560,167869
stand,168340,170679
stand-sit,171260,172399
sit,172740,175339
sit-stand,175830,176929
stand,177500,180189
stand-sit,180870,182349
sit,196790,199389
sit-stand,200120,201449
stand,209290,211819
stand-sit,212760,213889
sit,214820,217379
sit-stand,217880,219339
stand,220130,222539
stand-sit,223260,224619
sit,225440,227689
sit-stand,228330,229949
stand,230620,233119
stand-sit,234140,235549
sit,236190,238239
sit-stand,238810,240359
stand,240850,243099
stand-sit,243620,244789
sit,245420,248249
sit-stand,248790,250409
stand,251130,253649
stand-sit,254060,255359
