sit,1430,2809
sit-stand,5710,7529
stand,9700,10739
stand-sit,12020,13799
sit,15390,16719
sit-stand,18220,20029
stand,21360,22909
stand-sit,25510,27569
sit,28960,30049
sit-stand,31190,33009
stand,34160,35399
stand-sit,36530,38849
sit,39880,40699
sit-stand,42370,44069
stand,45130,46049
stand-sit,47080,48649
sit,48730,50369
sit-stand,51360,53539
stand,54590,55569
stand-sit,56610,58779
sit,59620,60529
sit-stand,61640,63689
stand,65060,66169
stand-sit,66910,69059
sit,70150,71149
sit-stand,72360,74549
stand,75850,77799
stand-sit,79010,81029
sit,82020,83269
sit-stand,84100,85789
stand,86820,88459
stand-sit,89720,91799
sit,93230,94539
sit-stand,95530,97729
stand,99000,100509
stand-sit,101740,103889
sit,104980,106929
sit-stand,107950,109729
stand,110590,112049
stand-sit,112820,114869
sit,116370,117529
sit-stand,118440,120459
stand,121520,122679
stand-sit,123660,125579
sit,126440,127819
sit-stand,128640,130589
stand,131470,132699
stand-sit,133910,136009
sit,136810,138309
sit-stand,139180,141369
stand,142150,143619
stand-sit,144390,146009
sit,146920,148339
sit-stand,149120,150949
stand,152160,153349
stand-sit,154310,156249
sit,156770,158279
sit-stand,158960,160969
stand,162150,163439
stand-sit,164260,165749
sit,166730,168309
sit-stand,169290,171389
stand,172240,173949
stand-sit,174890,176849
sit,177600,178859
sit-stand,179960,181899
stand,182750,184109
stand-sit,185100,186759
sit,187730,189049
sit-stand,190020,191949
stand,193010,194519
stand-sit,195510,197369
sit,198130,199489
sit-stand,200380,202109
stand,203060,204369
stand-sit,205010,206719
sit,207330,208769
sit-stand,209740,211729
stand,212540,214089
stand-sit,215040,216639
